Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","186526.6","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2016","2016","1000 ha","29642.2","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2016","2016","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","186467.9","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2017","2017","1000 ha","29657","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2017","2017","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","186424.7","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2018","2018","1000 ha","29748","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2018","2018","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","186156.1","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2019","2019","1000 ha","29378.3","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2019","2019","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","184464","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2020","2020","1000 ha","29553.2","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2020","2020","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","184464","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2021","2021","1000 ha","29669.7","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2021","2021","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","184464","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2022","2022","1000 ha","29669.7","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2022","2022","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2022","2022","1000 ha","184464","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2023","2023","1000 ha","29669.7","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2023","2023","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2023","2023","1000 ha","184464","I","Value imputed by a receiving agency",""
